Word,Count
*,499
the,196
,155
The,110
of,89
movie,86
@param,64
instance,60
{@link,59
Gets,56
id,48
@throws,47
Exception,46
@return,42
to,39
movies,31
comment,28
page,27
Sets,26
a,25
number,22
in,20
with,20
all,20
region,17
on,17
endregion,17
is,17
and,15
for,15
property,14
rating,14
genre,14
header,14
order,13
has,13
this,13
2,12
value,12
got,12
range,12
by,11
size,11
1,11
sort,11
be,10
star,10
user,10
file,10
one,9
If,9
against,9
return,9
if,9
then,9
given,8
Adds,7
string,7
=,7
ratings,7
content,7
sorting,7
list,7
success,7
are,7
item,6
not,6
format,6
part,6
them,6
set,6
likes,6
since,6
when,6
posted,6
Checks,6
Add,5
valid,5
parameters,5
Thrown,5
or,5
A,5
should,5
comments,5
byte,5
parameter,5
416,4
304,4
object,4
match,4
Range,4
Invalid,4
include,4
only,4
Constructors,4
3,4
type,4
year,4
path,4
similar,4
exception,4
request,4
title,4
dislikes,4
Setters,4
description,4
Properties,4
\not,\,4
0,4
Required,4
returns,4
descending,4
was,4
Returns,4
cast,4
Getters,4
Validate,4
True,4
date,4
overallrating,3
Can,3
2nd,3
headers,3
requested,3
single,3
Prepare,3
release,3
invalid,3
Rating#fivestars},3
Rating#fourstars},3
username,3
query,3
Rating#threestars},3
database,3
dislike,3
new,3
used,3
full,3
Copy,3
image,3
play,3
response,3
views,3
cover,3
accept,3
process,3
Comment#seriesid},3
series,3
actual,3
Rating#onestar},3
To,3
no,3
Sorts,3
music,3
Return,3
that,3
<ul>,3
who,3
Rating#twostars},3
exists,2
get,2
If-None-Match,2
data,2
specified,2
\Hence,\,2
true,2
Any,2
add,2
</ul>,2
Movie#cast},2
multi,2
<i>sort</i></li>,2
Movie#views},2
Movie#id},2
length,2
Movie#genre},2
User#username},2
Movie#description},2
db,2
Comment#movieid},2
Movie#likes},2
Movie#dislikes},2
combinations,2
Movie#rating},2
overall,2
controller,2
boundary,2
Comment#value},2
412,2
\types,\,2
onestar,2
Comment#user},2
\Else,\,2
it,2
1st,2
206,2
\so,\,2
than,2
End,2
Rating,2
params,2
accepts,2
Comment#id},2
optional,2
Comment#date},2
other,2
\parameter,\,2
multipart,2
matches,2
will,2
greater,2
If-Range,2
Will,2
requests,2
Sorting,2
Movie#overallrating},2
specifying,2
video,2
User#id},2
result,2
But,2
from,2
False,2
default,2
sortable,2
Movie#videofile},2
Must,2
otherwise,2
\"\*"\\,2
3rd,2
ascending,2
Request,2
formatted,2
genres,2
as,2
Movie#title},2
contain,2
any,2
there,2
empty,2
ordering,2
contents,2
Movie#releaseyear},2
LastModified,2
poorly,2
disposition,2
ETag,2
return.</li>,2
Movie#coverimage},2
Assuming,1
coverimage,1
releaseyear,1
<li><strong>sort.</strong>,1
(part(s)),1
toAccept,1
IOException,1
resume,1
accepted,1
recognized,1
system,1
@sinnce,1
objec,1
included,1
\twostars,\,1
seriesid,1
variables,1
interface,1
Bourne,1
attachment,1
provided,1
convert,1
[true],1
<li><strong>page.</strong>,1
fields,1
MongoRepository,1
\80),\,1
threestars,1
Start,1
id=1,1
commment,1
expect,1
INvalid,1
Set,1
\[onestar,\,1
commet,1
like,1
source,1
pop,1
acceptHeader,1
Custom,1
total,1
every,1
desc,1
failure,1
paginated,1
<li><strong>property.</strong>,1
2),1
..ms,1
actually,1
page</i></li>,1
-------------------------------------------------------------,1
\inline,\,1
playback.</li>,1
which,1
unique,1
determine,1
wether,1
length=100),1
\database,\,1
wrong,1
multiple,1
println,1
Construct,1
\header,\,1
Check,1
sets,1
Get,1
oerdre,1
exist,1
\images,\,1
without,1
matchHeader,1
according,1
Converts,1
'description',1
\browser,\,1
two,1
IAE,1
each,1
10,1
releasedate],1
Additional,1
prescribed,1
20KB,1
else,1
end,1
<li><strong>genre.</strong>,1
internal,1
Json,1
Created,1
fourstars,1
json,1
'save,1
integer,1
mime-mapping,1
Whether,1
easy,1
5,1
Send,1
start,1
an,1
(50,1
Handles,1
Total,1
Uses,1
read,1
some,1
MovieNotFoundException,1
userame,1
such,1
Initialize,1
<li><strong>order.</strong>,1
properties,1
http://www.w3schools.com/media/media_mimeref.asp,1
\[desc,asc]\,1
twostars,1
throw,1
<li><strong>size.</strong>,1
**,1
complete,1
kevin,1
three,1
either,1
week,1
update,1
ignored,1
musicid,1
similarity,1
/movies,1
non,1
methods,1
ready,1
existent,1
40-,1
Ratings,1
e.g,1
initialize,1
fivestars,1
</ul></li>,1
Home,1
Obviusly,1
valud,1
assersts,1
entries</p>,1
represents,1
4,1
\fourstars,\,1
options,1
ServletOutputStream,1
\100,\,1
10/02/15,1
can,1
